isha,maghrib,asr,zuhr,noon,sunrise,fajr
7:01,5:36,3:55,12:35,11:50,7:37,6:08
7:02,5:37,3:56,12:35,11:50,7:37,6:08
7:03,5:37,3:57,12:36,11:50,7:37,6:08
7:04,5:38,3:58,12:36,11:51,7:37,6:09
7:05,5:39,3:59,12:37,11:51,7:37,6:09
7:05,5:40,4:00,12:37,11:52,7:37,6:09
7:06,5:40,4:01,12:38,11:52,7:37,6:09
7:07,5:41,4:02,12:38,11:53,7:37,6:10
7:08,5:42,4:03,12:39,11:53,7:37,6:10
7:08,5:43,4:03,12:39,11:54,7:37,6:10
7:09,5:44,4:04,12:39,11:54,7:36,6:10
7:10,5:45,4:05,12:39,11:54,7:36,6:10
7:11,5:46,4:06,12:40,11:54,7:36,6:10
7:12,5:47,4:07,12:40,11:55,7:36,6:10
7:12,5:48,4:08,12:41,11:55,7:36,6:10
7:13,5:49,4:09,12:41,11:56,7:36,6:10
7:14,5:50,4:09,12:42,11:56,7:35,6:09
7:15,5:51,4:10,12:42,11:57,7:35,6:09
7:16,5:52,4:11,12:42,11:57,7:35,6:09
7:17,5:52,4:12,12:42,11:58,7:35,6:09
7:18,5:53,4:13,12:42,11:58,7:35,6:08
7:18,5:54,4:14,12:42,11:58,7:35,6:08
7:19,5:55,4:15,12:43,11:59,7:34,6:08
7:20,5:56,4:16,12:43,11:59,7:33,6:08
7:21,5:57,4:17,12:43,11:59,7:33,6:08
7:21,5:58,4:18,12:44,12:00,7:33,6:07
7:22,5:59,4:19,12:44,12:00,7:32,6:07
7:23,6:00,4:20,12:44,12:00,7:31,6:06
7:24,6:01,4:21,12:44,12:01,7:30,6:06
7:25,6:02,4:22,12:45,12:01,7:30,6:05
7:26,6:03,4:23,12:45,12:01,7:30,6:04
7:27,6:04,4:23,12:45,12:01,7:29,6:03
7:28,6:05,4:24,12:45,12:01,7:28,6:03
7:29,6:07,4:25,12:45,12:01,7:27,6:02
7:29,6:08,4:26,12:45,12:02,7:26,6:01
7:30,6:09,4:27,12:45,12:02,7:25,6:00
7:30,6:09,4:28,12:45,12:02,7:25,5:59
7:31,6:10,4:28,12:45,12:02,7:24,5:59
7:32,6:11,4:29,12:45,12:02,7:23,5:58
7:32,6:12,4:30,12:45,12:03,7:23,5:58
7:33,6:12,4:31,12:45,12:03,7:22,5:57
7:35,6:13,4:32,12:45,12:03,7:21,5:57
7:36,6:14,4:33,12:45,12:03,7:20,5:56
7:36,6:15,4:34,12:45,12:03,7:20,5:55
7:37,6:16,4:35,12:45,12:03,7:19,5:54
7:38,6:17,4:36,12:45,12:03,7:18,5:53
7:39,6:18,4:37,12:45,12:03,7:17,5:52
7:40,6:19,4:38,12:45,12:03,7:16,5:51
7:41,6:20,4:39,12:45,12:03,7:14,5:50
7:41,6:21,4:40,12:45,12:03,7:13,5:49
7:42,6:22,4:41,12:45,12:03,7:12,5:48
7:43,6:23,4:42,12:45,12:03,7:11,5:47
7:44,6:24,4:43,12:45,12:03,7:09,5:46
7:44,6:24,4:44,12:45,12:03,7:08,5:45
7:45,6:25,4:44,12:45,12:03,7:07,5:44
7:46,6:26,4:44,12:45,12:03,7:06,5:42
7:47,6:27,4:45,12:45,12:03,7:04,5:41
7:48,6:28,4:45,12:45,12:03,7:03,5:40
7:49,6:29,4:46,12:44,12:03,7:02,5:39
7:50,6:30,4:47,12:44,12:03,7:01,5:38
7:50,6:30,4:47,12:44,12:02,7:01,5:38
7:51,6:31,4:48,12:44,12:02,6:59,5:37
7:52,6:32,4:49,12:43,12:02,6:58,5:36
7:53,6:33,4:49,12:43,12:01,6:57,5:34
7:54,6:33,4:50,12:43,12:01,6:56,5:33
7:54,6:34,4:51,12:43,12:01,6:55,5:31
7:55,6:34,4:52,12:43,12:01,6:53,5:30
7:55,6:35,4:52,12:42,12:00,6:52,5:28
7:56,6:36,4:53,12:42,12:00,6:51,5:27
7:57,6:37,4:54,12:42,12:00,6:50,5:26
7:58,6:38,4:55,12:42,11:59,6:48,5:25
7:59,6:38,4:55,12:41,11:59,6:47,5:24
8:00,6:39,4:56,12:41,11:59,6:45,5:23
8:01,6:40,4:56,12:41,11:58,6:44,5:20
8:02,6:41,4:57,12:40,11:58,6:43,5:19
8:03,6:42,4:57,12:40,11:58,6:42,5:18
8:04,6:42,4:58,12:39,11:57,6:41,5:16
8:04,6:43,4:58,12:39,11:57,6:39,5:15
8:05,6:44,4:58,12:39,11:57,6:37,5:14
8:06,6:45,4:59,12:39,11:56,6:36,5:12
8:06,6:46,4:59,12:38,11:56,6:35,5:11
8:07,6:47,4:59,12:38,11:56,6:33,5:10
8:08,6:48,4:59,12:38,11:56,6:32,5:08
8:09,6:48,5:00,12:38,11:55,6:31,5:06
8:10,6:49,5:00,12:38,11:55,6:29,5:05
8:11,6:50,5:01,12:37,11:55,6:28,5:04
8:12,6:50,5:02,12:36,11:55,6:27,5:02
8:13,6:51,5:02,12:36,11:54,6:25,5:00
8:14,6:52,5:03,12:36,11:54,6:23,4:58
8:15,6:53,5:04,12:36,11:53,6:22,4:56
8:16,6:54,5:05,12:36,11:52,6:21,4:56
8:16,6:54,5:05,12:35,11:53,6:19,4:55
8:17,6:55,5:05,12:35,11:52,6:18,4:53
8:18,6:55,5:05,12:35,11:52,6:17,4:52
8:19,6:56,5:06,12:34,11:52,6:16,4:50
8:20,6:57,5:06,12:34,11:52,6:14,4:48
8:21,6:57,5:07,12:34,11:51,6:13,4:47
8:22,6:58,5:07,12:34,11:51,6:12,4:45
8:23,6:59,5:08,12:33,11:50,6:11,4:43
8:24,7:00,5:08,12:33,11:49,6:09,4:42
8:25,7:01,5:09,12:33,11:49,6:08,4:41
8:26,7:01,5:09,12:33,11:49,6:06,4:39
8:27,7:02,5:10,12:32,11:48,6:05,4:38
8:28,7:03,5:10,12:32,11:48,6:04,4:36
8:29,7:04,5:10,12:32,11:47,6:02,4:34
8:30,7:05,5:11,12:32,11:47,6:01,4:33
8:31,7:05,5:11,12:31,11:47,5:58,4:32
8:32,7:06,5:12,12:31,11:46,5:57,4:31
8:33,7:07,5:12,12:31,11:46,5:56,4:30
8:34,7:08,5:13,12:30,11:46,5:55,4:28
8:35,7:09,5:13,12:30,11:45,5:55,4:27
8:36,7:10,5:13,12:30,11:45,5:53,4:25
8:37,7:10,5:13,12:30,11:45,5:52,4:23
8:38,7:11,5:14,12:30,11:44,5:51,4:22
8:39,7:12,5:15,12:29,11:44,5:50,4:21
8:40,7:13,5:15,12:29,11:43,5:49,4:20
8:41,7:14,5:16,12:29,11:43,5:48,4:19
8:42,7:15,5:16,12:29,11:43,5:47,4:17
8:43,7:15,5:16,12:28,11:43,5:46,4:16
8:44,7:16,5:17,12:28,11:42,5:45,4:14
8:45,7:16,5:17,12:28,11:42,5:44,4:13
8:47,7:17,5:17,12:28,11:42,5:43,4:12
8:48,7:17,5:18,12:28,11:42,5:42,4:10
8:49,7:18,5:18,12:28,11:42,5:41,4:08
8:50,7:19,5:18,12:28,11:41,5:40,4:07
8:51,7:20,5:19,12:28,11:41,5:39,4:06
8:52,7:21,5:19,12:28,11:41,5:38,4:05
8:53,7:21,5:19,12:28,11:41,5:37,4:03
8:54,7:22,5:19,12:28,11:40,5:36,4:02
8:55,7:23,5:20,12:28,11:40,5:35,4:01
8:56,7:24,5:20,12:27,11:40,5:34,4:00
8:57,7:25,5:20,12:27,11:40,5:33,3:59
8:58,7:26,5:21,12:27,11:40,5:33,3:57
8:59,7:26,5:21,12:27,11:40,5:32,3:56
9:01,7:27,5:21,12:27,11:39,5:32,3:55
9:02,7:28,5:21,12:27,11:39,5:30,3:54
9:03,7:29,5:22,12:27,11:39,5:29,3:53
9:04,7:30,5:22,12:27,11:39,5:29,3:52
9:05,7:30,5:23,12:27,11:39,5:28,3:51
9:06,7:31,5:23,12:28,11:39,5:27,3:50
9:07,7:32,5:24,12:28,11:39,5:26,3:49
9:08,7:32,5:24,12:28,11:39,5:25,3:48
9:09,7:33,5:24,12:28,11:38,5:25,3:47
9:10,7:34,5:24,12:28,11:38,5:24,3:46
9:11,7:35,5:25,12:28,11:38,5:24,3:45
9:12,7:35,5:25,12:28,11:38,5:24,3:44
9:13,7:36,5:26,12:28,11:38,5:24,3:43
9:14,7:37,5:27,12:28,11:38,5:23,3:42
9:15,7:37,5:27,12:28,11:38,5:23,3:41
9:16,7:38,5:27,12:28,11:38,5:23,3:41
9:17,7:39,5:27,12:28,11:38,5:22,3:40
9:18,7:39,5:27,12:28,11:38,5:22,3:39
9:19,7:40,5:28,12:29,11:38,5:21,3:39
9:20,7:40,5:28,12:29,11:38,5:21,3:39
9:20,7:40,5:28,12:29,11:38,5:21,3:38
9:21,7:41,5:29,12:29,11:38,5:20,3:37
9:21,7:41,5:29,12:29,11:38,5:20,3:37
9:22,7:42,5:29,12:30,11:38,5:20,3:37
9:23,7:42,5:29,12:30,11:38,5:20,3:37
9:24,7:43,5:30,12:30,11:39,5:20,3:37
9:25,7:44,5:31,12:30,11:39,5:20,3:37
9:25,7:44,5:31,12:30,11:39,5:19,3:36
9:25,7:44,5:31,12:30,11:39,5:19,3:36
9:26,7:45,5:31,12:31,11:39,5:19,3:36
9:27,7:45,5:31,12:31,11:39,5:19,3:36
9:28,7:46,5:32,12:31,11:39,5:19,3:35
9:28,7:46,5:32,12:31,11:39,5:19,3:35
